Month (month),State (state_name),State Code (state_code),District (district_name),District Code (district_code),Total Rice Allocated (total_rice_allocated),Total Wheat Allocated (total_wheat_allocated),Total Rice Distributed (total_rice_distributed),Total Wheat Distritibuted (total_wheat_distributed)
"2018-05-01","Uttar Pradesh","9","Shravasti","181","2004.41","2948.68","1994.99","2934.53"
"2020-03-01","Odisha","21","Nuapada","368","3176.71","185.05","71.17","2.52"
"2020-12-01","Madhya Pradesh","23","Satna","426","3498.62","13432.67","1825.78","6412.22"
"2018-04-01","Karnataka","29","Vijayapura","530","8060.26","2700.85","6552.52","2198.02"
"2020-04-01","Meghalaya","17","East Jaintia Hills","657","506.78","0.0","506.78","0.0"
"2020-01-01","Chhattisgarh","22","Kondagaon","643","2684.81","0.0","2590.11","0.0"
"2020-11-01","Bihar","10","Pashchim Champaran","211","11150.63","7433.75","10165.18","6777.24"
"2019-11-01","Mizoram","15","Champhai","262","520.93","0.0","520.93","0.0"
"2020-10-01","Telangana","36","Mulugu","720","1044.86","0.0","973.5","0.0"
"2020-02-01","Karnataka","29","Ramanagara","631","11072.68","0.0","4474.04","0.0"
"2018-01-01","Gujarat","24","Devbhumi Dwarka","674","1114.53","1703.61","1061.47","1622.49"
"2020-11-01","Gujarat","24","Surendranagar","460","1534.95","3612.51","1452.73","3417.62"
"2021-09-01","Uttar Pradesh","9","Balrampur","127","8.57","0.0","8.57","0.0"
"2018-08-01","Delhi","7","North East","81","1134.85","4438.22","1070.69","4190.15"
"2019-08-01","Uttarakhand","5","Almora","45","2720.32","1667.28","1374.2","879.83"
"2020-12-01","Bihar","10","Kaimur (Bhabua)","200","7033.9","4689.26","5650.54","3770.84"
"2019-12-01","Tamil Nadu","33","The Nilgiris","587","2349.34","107.7","2434.31","93.2"
"2020-05-01","Assam","18","Kamrup Metro","618","3486.46","0.0","3486.46","0.0"
"2020-04-01","Haryana","6","Panipat","71","0.0","3629.35","0.0","3570.65"
"2019-09-01","Bihar","10","Sitamarhi","221","14681.51","9787.7","9548.39","6365.61"
"2020-07-01","Bihar","10","Saran","218","8918.37","5945.58","8337.58","5558.41"
"2019-08-01","Chhattisgarh","22","Narayanpur","637","828.4","0.0","479.33","0.0"
"2019-09-01","Gujarat","24","Dohad","445","2296.11","5476.93","2133.15","5089.88"
"2020-09-01","Jammu And Kashmir","1","Srinagar","13","6139.08","141.25","2445.87","39.65"
"2020-04-01","Assam","18","Dhemaji","284","3092.62","0.0","3092.62","0.0"
"2020-02-01","Delhi","7","South","83","887.84","3481.73","886.55","3476.54"
"2019-01-01","Gujarat","24","Botad","676","708.89","1666.92","667.04","1568.68"
"2020-02-01","Assam","18","Kamrup Metro","618","3483.58","0.0","3483.58","0.0"
"2018-07-01","Rajasthan","8","Bikaner","93","0.0","6018.15","0.0","6202.41"
"2019-09-01","Uttar Pradesh","9","Muzaffarnagar","172","3922.55","5834.76","3356.51","4993.58"
"2018-10-01","Uttarakhand","5","Haridwar","50","7581.8","4806.76","3800.15","2439.26"
"2019-10-01","Assam","18","Darrang","283","3978.28","0.0","3978.28","0.0"
"2021-09-01","Odisha","21","Dhenkanal","352","4581.87","832.05","4491.31","811.74"
"2020-06-01","Chhattisgarh","22","Surajpur","648","3750.86","0.0","3722.71","0.0"
"2018-02-01","Bihar","10","Jamui","198","4650.02","3100.01","4615.22","3076.81"
"2019-02-01","Bihar","10","Purbi Champaran","213","13753.58","9168.65","13748.09","9165.2"
"2019-04-01","Madhya Pradesh","23","Datia","401","659.88","2066.59","505.39","1585.64"
"2018-10-01","Uttarakhand","5","Bageshwar","46","563.4","345.31","414.9","295.64"
"2020-04-01","Assam","18","Tinsukia","302","5807.64","620.0","5807.64","620.0"
"2020-02-01","Assam","18","Bongaigaon","281","3155.15","169.0","3155.15","169.0"
"2020-03-01","Bihar","10","Buxar","194","5941.16","3960.57","2923.69","1949.12"
"2020-11-01","Bihar","10","Arwal","611","1727.48","1151.65","1459.99","974.39"
"2020-03-01","Delhi","7","North","80","721.04","2680.31","694.52","2599.61"
"2020-10-01","Karnataka","29","Mysuru","545","11871.53","1321.49","11918.49","1180.08"
"2020-08-01","Mizoram","15","Serchhip","268","297.13","0.0","297.13","0.0"
"2020-10-01","Gujarat","24","Patan","455","1571.87","3706.38","1442.65","3401.37"
"2019-08-01","Bihar","10","Gopalganj","197","5296.93","3531.29","5296.36","3530.91"
"2019-10-01","Gujarat","24","Navsari","453","1472.62","3513.51","1357.5","3240.83"
"2019-10-01","Tamil Nadu","33","Dharmapuri","571","6076.49","197.61","5702.44","185.5"
"2020-07-01","Meghalaya","17","West Garo Hills","278","1996.98","0.0","1996.98","0.0"
"2019-05-01","Mizoram","15","Lunglei","265","632.04","0.0","632.04","0.0"
"2019-10-01","Himachal Pradesh","2","Lahul And Spiti","21","38.0","37.2","66.6","111.44"
"2020-11-01","Madhya Pradesh","23","Mandsaur","416","899.79","3765.31","770.79","3575.46"
"2021-11-01","Haryana","6","Fatehabad","61","0.0","4862.56","0.0","2308.5"
"2018-03-01","Andhra Pradesh","28","Krishna","510","13441.93","0.0","12509.08","0.0"
"2018-08-01","Bihar","10","Aurangabad","189","5762.91","3841.94","5633.62","3755.74"
"2019-03-01","Himachal Pradesh","2","Kinnaur","19","58.0","82.0","45.29","111.55"
"2021-10-01","Jharkhand","20","Hazaribagh","332","4522.44","3088.91","4591.2","3054.09"
"2017-10-01","Uttar Pradesh","9","Sonbhadra","184","3080.85","4469.88","204.71","305.9"
"2020-05-01","Sikkim","11","West District","228","634.33","0.0","385.52","0.0"
"2018-12-01","Maharashtra","27","Sangli","493","7225.82","10666.01","3436.93","5060.81"
"2019-06-01","Haryana","6","Kaithal","66","0.0","2573.42","0.0","2855.37"
"2017-12-01","Tamil Nadu","33","Vellore","595","40390.07","2148.33","9419.79","384.01"
"2020-10-01","Himachal Pradesh","2","Hamirpur","17","416.0","612.0","397.31","532.8"
"2019-08-01","Andhra Pradesh","28","Krishna","510","13253.59","0.0","12314.75","0.0"
"2020-08-01","Himachal Pradesh","2","Sirmaur","24","422.0","603.0","408.76","545.56"
"2020-08-01","Assam","18","Dibrugarh","286","6011.12","208.0","6011.12","208.0"
"2020-08-01","Telangana","36","Mahabubabad","688","2671.8","0.0","2287.44","0.0"
"2017-12-01","Uttar Pradesh","9","Jalaun","151","2726.37","3995.13","0.0","0.0"
"2020-05-01","Tamil Nadu","33","Salem","584","11270.69","339.62","9860.76","356.26"
"2019-04-01","Uttarakhand","5","Champawat","48","1146.73","726.45","922.29","579.74"
"2020-03-01","Telangana","36","Nirmal","680","2193.58","0.0","2124.5","0.0"
"2019-05-01","Gujarat","24","Surendranagar","460","1544.17","3633.89","1438.89","3386.35"
"2021-11-01","Maharashtra","27","Beed","470","3402.14","5298.57","2570.65","3988.23"
"2019-03-01","Bihar","10","Kaimur (Bhabua)","200","3238.42","2158.95","3226.66","2151.11"
