Month (month),State (state_name),State Code (state_code),District (district_name),District Code (district_code),Total Rice Allocated (total_rice_allocated),Total Wheat Allocated (total_wheat_allocated),Total Rice Distributed (total_rice_distributed),Total Wheat Distritibuted (total_wheat_distributed)
"2020-03-01","Andhra Pradesh","28","East Godavari","505","16570.33","0.0","15673.7","0.0"
"2020-05-01","Tamil Nadu","33","Cuddalore","570","10803.77","267.46","9878.76","239.0"
"2020-10-01","Rajasthan","8","Churu","96","0.0","7178.03","0.0","7025.96"
"2018-09-01","Nagaland","13","Zunheboto","251","588.23","0.0","588.23","0.0"
"2019-01-01","Tamil Nadu","33","Vellore","595","10093.2","436.26","9695.0","353.89"
"2017-12-01","Maharashtra","27","Yavatmal","500","4151.02","6226.53","60.2","79.05"
"2019-06-01","Gujarat","24","Devbhumi Dwarka","674","796.72","1869.41","763.78","1790.83"
"2018-10-01","Nagaland","13","Mokokchung","246","814.7","0.0","814.7","0.0"
"2020-09-01","Maharashtra","27","Hingoli","477","1784.2","2827.18","1630.27","2581.64"
"2021-09-01","Karnataka","29","Shivamogga","547","9.29","0.0","9.15","0.0"
"2019-07-01","Mizoram","15","Lawngtlai","264","280.94","0.0","280.94","0.0"
"2019-11-01","Gujarat","24","Kachchh","449","2160.82","5087.33","1925.1","4533.66"
"2018-09-01","Rajasthan","8","Jaipur","102","0.0","14048.76","0.0","13557.99"
"2019-07-01","Gujarat","24","Ahmadabad","438","2628.1","6171.23","3309.33","7797.56"
"2018-10-01","Telangana","36","Kumurambheem Asifabad","699","2068.53","0.0","1937.3","0.0"
"2020-06-01","Haryana","6","Panchkula","70","0.0","1132.97","0.0","960.62"
"2018-07-01","Lakshadweep","31","Lakshadweep District","553","132.23","0.0","0.65","0.0"
"2020-02-01","Himachal Pradesh","2","Solan","25","507.0","721.0","438.14","409.25"
"2020-02-01","Bihar","10","Rohtas","215","11660.51","7773.68","5478.45","3652.02"
"2019-12-01","Goa","30","North Goa","551","1411.89","0.0","1392.7","0.0"
"2019-11-01","Rajasthan","8","Dausa","97","0.0","6058.04","0.0","6425.66"
"2018-06-01","Arunachal Pradesh","12","Lohit","234","200.15","0.0","200.15","0.0"
"2018-02-01","Jammu And Kashmir","1","Kishtwar","620","498.79","400.22","0.14","0.1"
"2020-06-01","West Bengal","19","Kolkata","315","4466.45","6584.47","4278.95","6283.28"
"2020-11-01","Madhya Pradesh","23","Sagar","425","1629.56","6972.44","1551.8","6737.96"
"2020-09-01","Tamil Nadu","33","Kanchipuram","574","3437.24","307.67","6134.72","540.92"
"2019-07-01","Chhattisgarh","22","Bijapur","636","1701.15","0.0","1028.06","0.0"
"2020-10-01","Uttar Pradesh","9","Aligarh","119","5598.74","8336.61","5320.38","7921.66"
"2018-11-01","Jharkhand","20","Simdega","342","2600.36","326.35","2627.55","327.5"
"2020-05-01","Odisha","21","Kalahandi","358","7436.71","320.1","6720.85","293.69"
"2017-12-01","Madhya Pradesh","23","Jhabua","412","1225.63","5183.11","1144.35","4743.33"
"2018-11-01","Chhattisgarh","22","Kanker","381","3504.55","0.0","1053.81","0.0"
"2020-09-01","Arunachal Pradesh","12","Kurung Kumey","233","158.09","0.0","158.09","0.0"
"2018-02-01","Maharashtra","27","Akola","467","2381.78","10434.42","1147.5","5128.93"
"2020-01-01","Manipur","14","Thoubal","259","4372.0","0.0","2212.35","0.0"
"2019-04-01","Tamil Nadu","33","Pudukkottai","582","6984.71","146.67","6079.62","134.06"
"2018-08-01","Haryana","6","Nuh","604","0.0","2673.77","0.0","2731.18"
"2020-09-01","Telangana","36","Kamareddy","685","3249.98","0.0","3136.29","0.0"
"2019-04-01","Jharkhand","20","Koderma","334","2550.18","309.87","2504.08","285.33"
"2019-04-01","Maharashtra","27","Nanded","485","9467.39","12934.51","4250.64","5712.95"
"2020-06-01","Assam","18","Dima Hasao","299","881.62","89.0","881.62","89.0"
"2021-11-01","Manipur","14","Kamjong","717","132.27","0.0","53.35","0.0"
"2017-12-01","Rajasthan","8","Pratapgarh","629","0.0","3386.49","0.0","3522.27"
"2019-11-01","Himachal Pradesh","2","Una","26","547.0","782.0","529.22","746.11"
"2019-08-01","Uttar Pradesh","9","Bulandshahr","134","4992.49","7422.73","4660.29","6924.5"
"2020-02-01","Odisha","21","Kendujhar","361","7594.27","736.38","13694.38","1357.92"
"2020-12-01","Uttar Pradesh","9","Mau","168","3763.85","5504.3","3510.25","5130.36"
"2019-02-01","Uttar Pradesh","9","Jaunpur","152","7540.65","10991.85","7425.42","10786.45"
"2021-11-01","Odisha","21","Nayagarh","367","3592.13","628.65","3460.29","603.32"
"2018-01-01","Tamil Nadu","33","Coimbatore","569","6615.42","561.96","5177.73","327.8"
"2019-11-01","Meghalaya","17","West Garo Hills","278","1996.98","0.0","1996.98","0.0"
"2020-04-01","Bihar","10","Jamui","198","4463.88","2946.56","4141.7","2761.02"
"2019-02-01","Bihar","10","Buxar","194","3016.43","2010.95","2870.51","1913.69"
"2020-06-01","Maharashtra","27","Osmanabad","488","2384.13","3769.65","2254.9","3569.08"
"2021-10-01","Haryana","6","Panipat","71","0.0","7432.16","0.0","3496.96"
"2020-08-01","Assam","18","Darrang","283","4038.52","0.0","4038.52","0.0"
"2019-11-01","Maharashtra","27","Hingoli","477","3304.41","5248.57","1520.25","2413.14"
"2019-08-01","Madhya Pradesh","23","Shajapur","430","176.41","741.28","20.77","86.82"
"2019-09-01","Madhya Pradesh","23","Agar Malwa","667","713.34","2994.04","462.5","1900.49"
"2020-06-01","Tamil Nadu","33","Chennai","568","13030.77","588.68","7703.12","574.99"
"2019-01-01","Madhya Pradesh","23","Barwani","393","1694.01","7144.89","1495.18","6305.58"
"2018-07-01","Andhra Pradesh","28","Vizianagaram","521","9142.9","0.0","8238.91","0.0"
"2020-09-01","Rajasthan","8","Tonk","116","0.0","5441.33","0.0","5342.13"
"2018-04-01","Chhattisgarh","22","Janjgir-Champa","379","8385.13","0.0","8133.51","0.0"
"2019-02-01","Uttar Pradesh","9","Kanpur Nagar","157","5593.57","8228.84","5125.0","7527.29"
"2019-03-01","Jharkhand","20","West Singhbhum","343","7019.49","952.07","6571.56","883.68"
"2019-11-01","Uttarakhand","5","Dehradun","49","6250.55","4014.84","3609.93","2065.76"
"2020-07-01","Uttar Pradesh","9","Siddharth Nagar","182","4509.87","6558.53","4337.09","6305.2"
"2019-06-01","Uttar Pradesh","9","Gautam Buddha Nagar","144","1467.03","2180.81","1217.88","1807.16"
"2020-09-01","Bihar","10","Khagaria","202","5451.13","3634.08","4672.38","3114.92"
"2017-11-01","Telangana","36","Karimnagar","508","3845.63","58.36","3599.38","0.0"
"2018-12-01","Manipur","14","Jiribum","713","200.36","0.0","200.36","0.0"
"2018-12-01","West Bengal","19","Nadia","320","7788.86","11523.6","7766.24","11482.07"
"2020-02-01","Tamil Nadu","33","Namakkal","580","4394.57","237.16","3713.48","204.01"
"2020-09-01","Madhya Pradesh","23","Umaria","436","1415.49","1961.9","1264.03","1770.5"
"2017-08-01","Himachal Pradesh","2","Hamirpur","17","0.0","0.0","0.0","0.0"
"2018-02-01","Tamil Nadu","33","Tuticorin","594","5440.67","146.86","4324.01","149.11"
"2020-02-01","Chhattisgarh","22","Narayanpur","637","955.61","0.0","591.68","0.0"
"2018-08-01","Karnataka","29","Haveri","540","15553.8","354.6","6499.57","183.86"
"2018-08-01","Haryana","6","Gurugram","62","0.0","1528.64","0.0","1611.91"
"2018-03-01","Tripura","16","Gomati","654","1053.82","46.06","521.27","46.06"
"2018-07-01","Madhya Pradesh","23","Alirajpur","639","925.0","3793.13","776.26","3174.53"
"2020-12-01","Bihar","10","Sheikhpura","219","3271.24","2180.83","2488.77","1659.27"
"2018-01-01","Chhattisgarh","22","Sukma","642","2528.25","0.0","1204.63","0.0"
"2017-12-01","Maharashtra","27","Mumbai Suburban","483","2386.23","3560.65","0.23","11.19"
"2021-09-01","Chhattisgarh","22","Janjgir-Champa","379","8251.62","0.0","8159.94","0.0"
"2020-12-01","Uttar Pradesh","9","Fatehpur","142","4257.97","6294.97","4062.05","6003.1"
"2017-11-01","Maharashtra","27","Jalna","479","2908.67","4363.01","110.94","86.76"
"2020-09-01","Chhattisgarh","22","Balrampur","649","3571.99","0.0","3505.36","0.0"
"2020-02-01","Bihar","10","Aurangabad","189","11454.27","7636.18","5597.06","3731.24"
"2021-11-01","Gujarat","24","Gandhinagar","446","1273.3","2989.77","1218.32","2855.65"
"2020-07-01","Madhya Pradesh","23","Satna","426","4308.03","15277.68","1854.98","6529.31"
"2018-09-01","Andaman & Nicobar Islands","35","South Andamans","602","188.96","21.28","39.27","21.28"
"2021-09-01","Arunachal Pradesh","12","Longding","666","201.58","0.0","201.58","0.0"
"2020-05-01","Arunachal Pradesh","12","Namsai","678","322.92","0.0","322.76","0.0"
"2017-10-01","Karnataka","29","Kalaburagi","538","0.0","0.0","0.0","0.0"
"2018-12-01","Telangana","36","Hyderabad","507","8829.52","0.0","7293.12","0.0"
"2019-10-01","Maharashtra","27","Parbhani","489","4455.21","7033.93","2137.77","3401.94"
"2019-04-01","Jharkhand","20","Deoghar","324","5404.22","688.66","5218.89","633.63"
"2018-09-01","Madhya Pradesh","23","Agar Malwa","667","491.72","2064.65","455.26","1911.95"
"2020-04-01","Bihar","10","Banka","190","5221.38","3480.35","5125.09","3416.82"
"2019-06-01","Karnataka","29","Dharwad","536","15525.35","0.0","5735.27","0.15"
"2019-08-01","Rajasthan","8","Chittorgarh","95","0.0","5243.58","0.0","5020.28"
"2018-10-01","West Bengal","19","24 Paraganas South","304","12553.43","18611.63","12315.04","17805.8"
"2019-03-01","Arunachal Pradesh","12","Changlang","229","422.57","0.0","422.57","0.0"
"2018-11-01","Delhi","7","East","78","722.7","2495.26","738.9","2557.61"
"2018-12-01","Karnataka","29","Mandya","544","10194.49","0.0","53.89","0.0"
"2020-03-01","Assam","18","Darrang","283","3969.14","0.0","3969.14","0.0"
"2020-08-01","Tripura","16","North Tripura","270","1546.21","0.0","1510.84","0.0"
"2018-02-01","Tamil Nadu","33","The Nilgiris","587","2434.61","96.43","2374.38","96.95"
"2020-04-01","Rajasthan","8","Kota","109","0.0","5067.22","0.0","5192.96"
"2019-08-01","Tamil Nadu","33","Kanchipuram","574","8050.4","178.54","7259.86","151.37"
"2019-12-01","Telangana","36","Kumurambheem Asifabad","699","1981.57","0.0","1893.47","0.0"
"2019-07-01","Jharkhand","20","Deoghar","324","5250.66","649.38","5317.59","655.58"
"2020-02-01","Delhi","7","West","85","812.19","3115.65","807.69","3098.78"
"2019-08-01","Uttar Pradesh","9","Barabanki","129","7959.84","8609.01","5726.72","8308.18"
"2020-12-01","Gujarat","24","Amreli","439","1297.82","3065.59","1200.21","2835.1"
"2019-03-01","Nagaland","13","Phek","248","644.05","0.0","644.05","0.0"
"2019-12-01","Uttarakhand","5","Rudra Prayag","54","1034.31","633.92","540.45","291.11"
"2019-02-01","West Bengal","19","24 Paraganas South","304","12565.29","18629.9","12461.75","18628.5"
"2019-06-01","Manipur","14","Jiribum","713","217.06","0.0","217.06","0.0"
"2019-07-01","Assam","18","Barpeta","280","7348.47","411.0","7348.47","411.0"
"2017-12-01","Odisha","21","Jajapur","356","6314.68","1554.85","5608.75","1387.56"
"2020-03-01","Rajasthan","8","Dungarpur","99","0.0","6134.86","0.0","6243.94"
"2020-07-01","Jammu And Kashmir","1","Pulwama","11","1906.51","0.0","751.03","0.0"
"2018-05-01","Bihar","10","Kishanganj","203","5009.45","3339.64","4800.79","3200.53"
"2019-01-01","Uttar Pradesh","9","Mainpuri","166","2707.76","3899.54","2644.6","3852.74"
"2019-02-01","Uttar Pradesh","9","Sultanpur","185","4289.3","6232.93","4267.37","6200.1"
"2017-10-01","Karnataka","29","Raichur","546","0.0","0.0","0.0","0.0"
"2018-07-01","Tamil Nadu","33","Erode","573","5994.97","256.42","4516.13","244.29"
"2018-04-01","Telangana","36","Yadadri Bhuvanagiri","697","2568.15","0.0","2288.78","0.0"
"2019-07-01","Delhi","7","South","83","870.89","3411.28","869.26","3404.81"
"2021-11-01","Andaman And Nicobar Islands","35","North And Middle Andaman","632","99.6","49.32","94.51","24.92"
"2017-11-01","Tamil Nadu","33","Kanniyakumari","575","22051.21","1197.63","5531.09","243.33"
"2019-07-01","Mizoram","15","Kolasib","263","423.24","0.0","423.24","0.0"
"2020-05-01","West Bengal","19","Jhargram","703","1980.96","2889.91","2733.78","2889.91"
"2019-04-01","Tamil Nadu","33","Dharmapuri","571","6020.05","197.91","5475.4","177.38"
"2019-04-01","Assam","18","Karimganj","293","5340.42","80.0","5340.42","80.0"
"2018-07-01","Chhattisgarh","22","Mahasamund","385","5422.1","0.0","5238.74","0.0"
"2019-01-01","Maharashtra","27","Thane","497","16050.79","18902.85","7220.75","8209.28"
"2020-10-01","Uttarakhand","5","Bageshwar","46","1146.09","702.43","582.22","457.52"
"2019-04-01","Odisha","21","Jajapur","356","6419.11","1554.43","6376.46","1548.88"
"2019-11-01","Haryana","6","Panipat","71","0.0","1104.3","0.0","1335.71"
"2018-08-01","Uttar Pradesh","9","Ambedkar Nagar","121","3920.24","5715.44","3912.31","5703.55"
"2020-05-01","Manipur","14","Kangpokpi","712","1626.25","0.0","844.62","0.0"
"2018-06-01","Karnataka","29","Ramanagara","631","9755.22","0.0","4375.12","0.0"
"2021-11-01","Jammu And Kashmir","1","Kathua","7","353.64","1488.13","308.23","1297.12"
"2021-09-01","Uttar Pradesh","9","Ballia","126","5821.88","8478.57","5494.94","8000.29"
"2019-08-01","Jharkhand","20","Koderma","334","2471.79","298.04","2625.16","326.81"
"2019-09-01","Jharkhand","20","Latehar","335","3084.49","340.32","3042.45","341.56"
"2019-03-01","Jharkhand","20","Ranchi","339","10255.28","1150.25","9663.32","948.3"
"2017-11-01","Telangana","36","Peddapalli","682","2997.24","47.25","2790.74","0.0"
"2018-05-01","Telangana","36","Kamareddy","685","3143.51","0.0","2973.71","0.0"
"2020-02-01","Haryana","6","Panipat","71","0.0","3397.45","0.0","3197.82"
"2019-07-01","Assam","18","Golaghat","288","4817.51","354.0","4817.51","354.0"
"2018-02-01","Haryana","6","Karnal","67","0.0","2795.55","0.0","4027.66"
"2019-06-01","Haryana","6","Gurugram","62","0.0","1656.55","0.0","1657.18"
"2020-08-01","Punjab","3","Patiala","41","0.0","26179.17","0.0","15042.81"
"2019-01-01","Himachal Pradesh","2","Bilaspur","15","463.0","658.0","415.22","599.8"
"2018-03-01","Madhya Pradesh","23","Narsimhapur","418","872.83","3710.51","488.12","1814.38"
